shop_was_in_page,shop_img,shop_title,shop_url,shop_id,shop_selling_type,senfi_number,shop_all_products_target_url,cooperation_status_with_emalls,name_of_person_in_charge,phone_number,shop_address,shop_email,shop_score,shop_social_media_handles,shop_recieved_date,shop_crawled_at,shop_current_city,shop_duration_of_cooperation_with_emalls,shop_website,shop_Enamad_sign,images
8,http://emalls.ir/src/shop-default.svg,دکتر نازنین کلانتری,https://emalls.ir//Shop/48534/,48534,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,نازنین کلانتری,۰۲۸۳۳۳۴۱۸۸۳,قزوین.خیابان پادگان.بالاتر از میدان عارف.بین کوچه نظرپور و کارتاب.کلینیک دامپزشکی دکتر نازنین کلانتری,dr [dot] nazanin [dot] kay [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:04:14.561329+00:00,قزوین - قزوین,5 ماه و 14 روز,https://drkalantarivet.com/,دارد (یک ستاره) معتبر تا 1 سال و 6 ماه و 1 روز,
4,http://emalls.ir//files/shoplogo/5jp5nw4ihlt6687umjrfezrmvsmo4brnmh7cpx534ury0nhdub[medium].png,یه تومن,https://emalls.ir//Shop/48131/,48131,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,رامتین شکرابی,۰۲۱۶۶۷۱۴۶۴۴,محله : جمهوری اسلامی - کوچه کیخسروشاهرخ - خیابان نوفل لوشاتو - پلاک : 26.0 - طبقه : 4,ramtin [dot] shekarabi [dot] 4769 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:04:14.886999+00:00,تهران - تهران,5 ماه و 23 روز,https://yetoman.com/,دارد (یک ستاره) معتبر تا 1 سال و 3 ماه و 14 روز,
3,http://emalls.ir//files/shoplogo/gvst85jgdwggeorsk5tis3rant52cdc4ymgqq8fe41s0nf6t32[medium].png,بازرگانی گنجینه,https://emalls.ir//Shop/50029/,50029,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,مانی کرمیان,۰۳۱۳۲۲۵۵۴۱۳, پروین - خیابان پروین اعتصامی - خیابان صباحی - تجاری شهیدرجای - پلاک : 34.0 - طبقه : -1 - واحد : 40,karamianmani [dot] 84 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:04:14.997668+00:00,اصفهان - اصفهان,4 ماه و 6 روز,https://bazarganiganjineh.ir/,دارد (یک ستاره) معتبر تا 3 ماه و 14 روز,
3,http://emalls.ir//files/shoplogo/2osqgexrmiduy5a56h2jeaol28gmhdxsm00efy7vaqk8q1btfv[medium].png,کلیک نوین,https://emalls.ir//Shop/43099/,43099,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,علی رحمانی,,محله: هنرور، خیابان یاس [عبدالمطلب 15 - شفا 27]، خیابان لاله 6 [یاس 9]، پلاک: 0.0، طبقه: همکف,,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:04:15.571378+00:00,خراسان رضوی - مشهد,9 ماه و 13 روز,http://clicknovin.ir/,دارد (یک ستاره) معتبر تا 11 ماه و 5 روز,
3,http://emalls.ir/src/shop-default.svg,بیبی یودا,https://emalls.ir//Shop/45128/,45128,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,محدثه عابدی فرد,۰۲۱۲۶۷۱۱۸۰۲,قبا - کوچه ادیب اول - خیابان شهید بهروز خدمتی (ادیب 2) - پلاک : 21.0 - طبقه : 4 - واحد : جنوبی,abedi_mohadeseh [at] yahoo [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:04:15.685001+00:00,تهران - تهران,8 ماه,https://baby-yoda-onlineshop.ir/,دارد (یک ستاره) معتبر تا 3 ماه,
4,http://emalls.ir/src/shop-default.svg,مات اپتیک,https://emalls.ir//Shop/46867/,46867,اینترنتی,,,عدم همکاری با ایمالز,سونیا حصوری,۰۳۱۳۶۸۵۰۳۴۸,خرداد 129 - کوچه خرداد جنوبی - خیابان بهمن - پلاک : 209.0 - طبقه : 1,mattoptic1992 [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989134126295,https://instagram.com/Mattoptic",چهارشنبه ۳ بهمن,2025-01-22 15:04:16.080904+00:00,اصفهان - اصفهان,--,https://matt-optic.ir/, معتبر تا 4 ماه و 1 روز,
5,http://emalls.ir/src/shop-default.svg,اسکندری,https://emalls.ir//Shop/51957/,51957,حضوری,,,غیرفعال به دلیل عدم تکمیل مدارک,سعید اسکندری,۰۹۱۰۱۰۲۰۹۸۸,,,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:04:16.330276+00:00,مازندران - قائم‌شهر,2 ماه و 25 روز,,,
3,http://emalls.ir//files/shoplogo/dk27u1sw6avb1irchecvmh11mlxxz02p3037n1755vv3gtsyia[medium].png,تبریز پوش ,https://emalls.ir//Shop/41622/,41622,اینترنتی,,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~41622,عدم همکاری با ایمالز,مرضیه حیدری گجن ,۰۹۹۲۶۹۴۵۹۴۴- ۰۴۱۳۳۳۶۶۶۸۳,محله: مارالان، کوچه شهید پورتیموری، خیابان منتظری، پلاک: 48.0، طبقه: همکف,Tabrizpoush [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:04:16.801199+00:00,آذربایجان شرقی - تبریز,--,https://tabrizpoush.com/,دارد (یک ستاره) معتبر تا 4 ماه و 20 روز,
4,http://emalls.ir//files/shoplogo/otpautk44nwdtse57onyaq5vk37bvxd56k6ci65dmwyt00oyst[medium].png,عسل ورجین,https://emalls.ir//Shop/36881/,36881,اینترنتی,,,عدم همکاری با ایمالز,حسام روحانی,۰۲۱۲۲۳۹۲۵۷۸ - ۰۲۱۲۲۲۰۹۶۴۲,چیذر، خیابان شهیدسرلشکرمنصور وطن پور شمالی، خیابان شهید دکتر لواسانی، پلاک: 162.0، طبقه: 2، واحد: 9 .,salam [at] asalvarjin [dot] ir,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:04:17.251673+00:00,تهران - تهران,--,https://asalvarjin.ir/,دارد (صفر ستاره),
5,http://emalls.ir//files/shoplogo/57kpct846foaeslw5mh38tvm3ghy0td53gzx07v1dxex8ggvg8[medium].png, زیپو اورجینال,https://emalls.ir//Shop/46893/,46893,اینترنتی,,,عدم همکاری با ایمالز,سالار سیمیاب,۰۲۱۷۷۸۰۲۱۹۲,محله: نظام آباد شمالی، خیابان شهید جمشید رضائی (142)، خیابان شهید آیت اله مدنی، پلاک: 1430.0، طبقه: همکف,salarsimyab91 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:04:18.082785+00:00,تهران - تهران,--,https://zippoorginal.ir/,دارد (یک ستاره) معتبر تا 5 ماه,
