shop_was_in_page,shop_img,shop_title,shop_url,shop_id,shop_selling_type,senfi_number,shop_all_products_target_url,cooperation_status_with_emalls,name_of_person_in_charge,phone_number,shop_address,shop_email,shop_score,shop_social_media_handles,shop_recieved_date,shop_crawled_at,shop_current_city,shop_duration_of_cooperation_with_emalls,shop_website,shop_Enamad_sign,images
10,http://emalls.ir//files/shoplogo/qamowjdj3e0ugfmjt02pr0ajiff8mflcww0l54qmqlsbz4gqvj[medium].png,فرش کالا,https://emalls.ir//Shop/34393/,34393,اینترنتی,,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~34393,قطع همکاری با ایمالز,تدبیر فراب صنعت , ۰۳۱۵۵۲۳۶۸۴۸,محله: گازرگاه، خیابان آیت اله سعیدی، بن بست ((رحمت اله جلالی))، پلاک: 0.0، طبقه: 1,farabkala [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 16:10:54.499898+00:00,اصفهان - کاشان,--,https://farshkala.com/,دارد (یک ستاره),
8,http://emalls.ir//files/shoplogo/ibhufobzgbqnkux1wtrg2vjotytb5rlxrukq2rdzgqkx2sp1nw[medium].jpg,فکری,https://emalls.ir//Shop/3653/,3653,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,فرزاد فكري,۰۲۳۳۲۳۹۱۱۰۰,سمنان شاهرود بخش شاهرود، خیابان تهران، ساختمان نمایندگی ال جی،,info [at] fekrico [dot] com ,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 16:10:54.793619+00:00,سمنان - شاهرود,4 سال و 9 ماه و 26 روز,https://fekrico.com/,دارد (یک ستاره),
8,http://emalls.ir//files/shoplogo/vci83dz0clx087u5d1w0i4pye2w3igussye0zhh4hth65ruy8m[medium].png,موبایل پرشیا,https://emalls.ir//Shop/20902/,20902,اینترنتی,,,عدم همکاری با ایمالز,امیرعلی اصلانی,۰۲۱۶۶۷۶۷۲۵۵,تهران جمهوری کوچه یغما نبش کوچه ی تلفنخانه پلاک ۱۵ طبقه همکف واحد ۱,AMIR [dot] ASL2004 [at] GMAIL [dot] COM,۱,,چهارشنبه ۳ بهمن,2025-01-22 16:10:54.967172+00:00,تهران - تهران,--,https://mobilepersia.com/,دارد (یک ستاره) معتبر تا 4 ماه و 16 روز,
10,http://emalls.ir//files/shoplogo/u0rhy4yxngw2pgnj27kgsg7h1fqrpgox812ssrxonuernoloxg[medium].png,مای زد تی اس,https://emalls.ir//Shop/6684/,6684,اینترنتی,,,قطع همکاری با ایمالز,مد کده,۰۲۱۶۶۹۷۸۱۳۳,شیخ هادی ، خیابان فلسطین ، کوچه شهیدرئوف فلاح زادگان ، پلاک 36 ، طبقه همکف ، واحد 3, hosseinashtiani59 [at] gmail [dot] com,۱,,چهارشنبه ۳ بهمن,2025-01-22 16:10:55.119384+00:00,تهران - تهران,--,https://myzts.com/,دارد (یک ستاره),
6,http://emalls.ir//files/shoplogo/h3jvjrrdxhtfeckljf7h3mhtxj8iavrfvdmgz107ofrr25nz2y[medium].png,فناوری سرو,https://emalls.ir//Shop/25859/,25859,اینترنتی,,,قطع همکاری با ایمالز,حمیدرضا صیاد دریابخش,۰۲۱۲۲۹۲۳۹۰۰,میرداماد، پلاک236، ط3,hrsd66 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 16:10:55.289099+00:00,تهران - تهران,--,https://www.sarv.io/,دارد (یک ستاره) معتبر تا 3 ماه و 20 روز,
6,http://emalls.ir//files/shoplogo/15a6wwdu8qc6fr0ys1r4um2oiuryfcvz4tuc8xfmox3qh7wo0u[medium].jpg,سالیماشاپ,https://emalls.ir//Shop/37397/,37397,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,محمد امین مویدزاده,۰۲۱۳۳۶۱۷۶۰۰,اتوبان بعثت شهرک بروجردی زیر بلوک ۵۶,info [at] salimaa [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 16:10:55.409071+00:00,تهران - تهران,1 سال و 3 ماه و 27 روز,https://www.salimaa.com/,دارد (صفر ستاره),
8,http://emalls.ir/src/shop-default.svg,کارتریج برتر,https://emalls.ir//Shop/30260/,30260,اینترنتی,,,قطع همکاری با ایمالز,عباس علی واحد ,۰۲۱۸۸۳۰۹۸۳۶,محله: ایرانشهر، خیابان ایرانشهر، کوچه شهید وحیدرضا دهقانی نیا(خسرو)، پلاک: 5.0، عماد، طبقه: 4، واحد: 10,abasvahed1394 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 16:10:55.522189+00:00,تهران - تهران,--,https://cartridgebartar.com/,دارد (یک ستاره),
6,http://emalls.ir//files/shoplogo/8by1zjcn1yrh0iaoq8zx6sdrreo58lf6hzgw0zzfkmh6ooozwx[medium].jpg,بی کی شاپ ,https://emalls.ir//Shop/18839/,18839,اینترنتی,,,عدم همکاری با ایمالز,کاظم خاکسار,۰۲۶۳۴۲۹۶۰۶۵,کرج رجائی شهر فاز 3 بلوار انقلاب اسلامی بین خیابان هفتم و هشتم غربی فروشگاه بی کی شاپ,behnamkh62 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 16:10:58.525859+00:00,البرز - کرج,--,http://bkshop.ir/,دارد (یک ستاره),
8,http://emalls.ir//files/shoplogo/m04b4v61eamrexyk1zp1kvrx13swz08641jsou5duv61ff288t[medium].png,شرکت آتنا,https://emalls.ir//Shop/2067/,2067,اینترنتی,,,قطع همکاری با ایمالز,شرکت آتنا,۰۲۱-۹۱۰۱۱۰۹۱,تهران، طرشت، خیابان تیموری، خیابان حبیب‌زادگان، بن‌بست فاطمی، پلاک ۱ شرقی، واحد۱۴,a [dot] k [at] sana [dot] tech	,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 16:10:58.921617+00:00,تهران - تهران,--,https://athena.ir/store/,دارد (یک ستاره),
6,http://emalls.ir//files/shoplogo/lckv2sk3dtidnzqbok2j8lry41jlkcz1xdsqgr6q7wz7ynubdh[medium].png,اوستا کالا,https://emalls.ir//Shop/3154/,3154,اینترنتی,,,عدم همکاری با ایمالز,majid yahyaee,۰۲۱-۶۶۷۶۵۹۷۱,"تهران جمهوری خیابان سی تیر جنب موزه ابگینه پلاک49 واحد1

",avestakala [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 16:10:59.265503+00:00,تهران - تهران,--,https://avestakala.com/,دارد (یک ستاره),
