shop_was_in_page,shop_img,shop_title,shop_url,shop_id,shop_selling_type,senfi_number,shop_all_products_target_url,cooperation_status_with_emalls,name_of_person_in_charge,phone_number,shop_address,shop_email,shop_score,shop_social_media_handles,shop_recieved_date,shop_crawled_at,shop_current_city,shop_duration_of_cooperation_with_emalls,shop_website,shop_Enamad_sign,images
7,http://emalls.ir//files/shoplogo/iduqrpyaflsln3ys4nrfvyqr7qkehsqk61fzxgpzu0vxm3b2py[medium].png,لیماگیفت,https://emalls.ir//Shop/19777/,19777,اینترنتی,,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~19777,در حال همکاری با ایمالز,مازیار غلامی,۰۲۱۷۷۸۴۸۵۳۴,نارمک- خیابان شهید ثانی غربی- میدان 86- کوچه مرتضی زاده- پلاک 22- واحد 2,info [at] limugift [dot] com,۵,https://instagram.com/limugift,چهارشنبه ۳ بهمن,2025-01-22 18:47:53.485141+00:00,تهران - تهران,3 سال و 7 ماه و 5 روز,https://www.limugift.com/,دارد (یک ستاره) معتبر تا 16 روز,
8,http://emalls.ir//files/shoplogo/17kb3gf8aabob4u34ocm3x87hwjl84kwsrm2ubume4frcu23m6[medium].png,لایسنس مارکت,https://emalls.ir//Shop/22685/,22685,اینترنتی,,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~22685,در حال همکاری با ایمالز,سینا درویشی,۰۵۱۳۸۸۳۳۳۲۱,هاشمیه 85 - پلاک 14/1 - ط 4 ,sinadarvi [at] gmail [dot] com,۵,,چهارشنبه ۳ بهمن,2025-01-22 18:47:53.720029+00:00,خراسان رضوی - مشهد,3 سال و 2 ماه و 13 روز,https://license-market.ir/,دارد (یک ستاره) معتبر تا 1 ماه و 18 روز,
9,http://emalls.ir//files/shoplogo/pdm1hzsfwdw5fdm1kwvn2botrzw8h5kvk4lemtmtiwwwf3awim[medium].png,سرزمین موبایل موبولند,https://emalls.ir//Shop/20899/,20899,اینترنتی,,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~20899,در حال همکاری با ایمالز,محمد بلارک,۰۷۱۳۷۲۳۹۲۰۳,بلوار فرصت شیرازی – کوچه 24 – فرعی 24/1 – سمت چپ – آخرین خانه – طبقه همکف,Mohbelarak [at] yahoo [dot] com,۳.۷,,چهارشنبه ۳ بهمن,2025-01-22 18:47:53.946201+00:00,فارس - شیراز,3 سال و 5 ماه و 13 روز,https://moboland.net/,دارد (یک ستاره) معتبر تا 2 ماه و 19 روز,
8,http://emalls.ir//files/shoplogo/8l7nmhvmxz7h4v4fnjlpvrb73qlbrxzvgwlhnzvbhj7wpzt7gm[medium].png,هم صدا,https://emalls.ir//Shop/28494/,28494,اینترنتی و حضوری,0204026731,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~28494,در حال همکاری با ایمالز,علس اسکویی,۰۲۱۳۳۹۸۶۰۰۱,لاله‌زار جنوبی پاساژ 110 طبقه سوم پلاک 34,mr [dot] alioskuei [at] gmail [dot] com,۵,"https://web.whatsapp.com/send?phone=989388000600,https://t.me/Hamsedashop",چهارشنبه ۳ بهمن,2025-01-22 18:47:55.648537+00:00,تهران - تهران,2 سال و 4 ماه و 22 روز,https://hamsedashop.ir/,دارد (یک ستاره),
10,http://emalls.ir//files/shoplogo/hqdrvscxkwwodtx8v3bdub15xgv8haefdqdg1bod2r6xy3izat[medium].png,فانوس,https://emalls.ir//Shop/3514/,3514,اینترنتی,,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~3514,در حال همکاری با ایمالز,محسن حیدری,۰۲۱۲۲۲۶۳۸۷۲,"تهران تهران محله بهجت آباد، خیابان شهید حمید صدر، پلاک ۴۵، واحد ۱۲
",fanooscomputer [at] gmail [dot] com	,۱,,چهارشنبه ۳ بهمن,2025-01-22 18:47:56.104601+00:00,تهران - تهران,4 سال و 11 ماه,https://fanoosdesign.ir/,دارد (یک ستاره),
9,http://emalls.ir//files/shoplogo/2byo8bjnzrggmjnfeylg2jyzz0qs5ngnema8ck7jbkp8tr46ma[medium].png,همراه گنجینه,https://emalls.ir//Shop/4798/,4798,اینترنتی,,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~4798,در حال همکاری با ایمالز,فرهاد علیزاده,۰۴۱۳۵۵۳۵۵۰۰,"آذربایجان شرقی تبریز بخش مرکزی، خیابان شریعتی جنوبی، کوچه ارک، ساختمان بازار موبایل تبریز، طبقه سوم، واحد ۳۰۸،
",hamrahganjineh [at] gmail [dot] com,۴.۲,,چهارشنبه ۳ بهمن,2025-01-22 18:47:56.222158+00:00,آذربایجان شرقی - تبریز,4 سال و 4 ماه و 28 روز,https://mobileganjineh.ir/,ندارد,
7,http://emalls.ir//files/shoplogo/dn54xxs12qksb6vr2shtztwaequgk5w83lypeciss3nysxi1sd[medium].jpg,صاران مارکت,https://emalls.ir//Shop/1632/,1632,اینترنتی و حضوری,467523515,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~1632,در حال همکاری با ایمالز,آقای حسینی ,۰۵۱۳۷۲۳۲۶۰۰, مشهد بلوار سازمان آب بین صادقی 19 و 17 مجتمع تابان طبقه 2 واحد 11,info [at] SaranMarket [dot] com,۵,"https://web.whatsapp.com/send?phone=989028785890,https://t.me/Saran_IT,https://instagram.com/saranmarket",چهارشنبه ۳ بهمن,2025-01-22 18:47:56.818383+00:00,خراسان رضوی - مشهد,6 سال و 6 ماه و 4 روز,https://saranmarket.com/,دارد (یک ستاره) معتبر تا 2 ماه و 22 روز,
7,http://emalls.ir//files/shoplogo/6ly1zv2id0o86ojm82hlkqies6ll8tqa65m8ylihjrmjg25l2i[medium].png,خاجی کالا,https://emalls.ir//Shop/2599/,2599,اینترنتی,,,در حال همکاری با ایمالز,محمد باقری,۰۲۱۶۵۴۱۱۱۱۲,"تهران ملارد جاده شهریار به سمت ملارد،بزرگراه بویین زهرا شهریار،بعد از شهرک جعفریه، فروشگاه خاجی
",info [at] khajikala [dot] ir,۵,,چهارشنبه ۳ بهمن,2025-01-22 18:47:57.262421+00:00,تهران - تهران,5 سال و 6 ماه و 4 روز,https://khajikala.ir/,دارد (یک ستاره),
6,http://emalls.ir//files/shoplogo/ci2sdu4315mu2plxyolx1spwomcq41qgtkmhotniwq5evpju7b[medium].png,سورینت,https://emalls.ir//Shop/5778/,5778,اینترنتی و حضوری,,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~5778,در حال همکاری با ایمالز,جابر بهشتی,۰۹۱۴۳۰۸۴۹۷۷,تبریز خ امام سه راه طالقانی طبقه همکف پلاک 85,jaberbeheshti19 [at] gmail [dot] com,۵,"https://web.whatsapp.com/send?phone=989143084977,https://t.me/greentechh,https://instagram.com/sourinetstore",چهارشنبه ۳ بهمن,2025-01-22 18:47:57.827721+00:00,آذربایجان شرقی - تبریز,4 سال و 1 ماه و 19 روز,http://sourinet.com/,دارد (یک ستاره),
5,http://emalls.ir//files/shoplogo/wso7mztf8g73zgsuctbuz5cfp04ndodn8me75epes41xsrrnjc[medium].png,تکنوکده,https://emalls.ir//Shop/591/,591,اینترنتی,466221853,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~591,در حال همکاری با ایمالز,زهرا پورمقدم,۰۳۱۹۱۰۰۸۵۸۰,"اصفهان، خیابان شمس آبادی، جنب مادی نیاصرم، بن بست شماره 8 (بامداد)، ساختمان بامداد، طبقه اول شرقی
",ali93shirani [at] gmail [dot] com,۴,,چهارشنبه ۳ بهمن,2025-01-22 18:47:58.130335+00:00,اصفهان - اصفهان,8 سال و 4 ماه و 18 روز,https://technokade.com/,دارد (یک ستاره) معتبر تا 10 ماه و 26 روز,
