senfi_number,shop_was_in_page,shop_img,shop_title,shop_url,shop_id,shop_selling_type,shop_all_products_target_url,cooperation_status_with_emalls,name_of_person_in_charge,phone_number,shop_address,shop_email,shop_score,shop_social_media_handles,shop_recieved_date,shop_crawled_at,shop_current_city,shop_duration_of_cooperation_with_emalls,shop_website,shop_Enamad_sign,images
466616631,1,http://emalls.ir//files/shoplogo/q81oksgo8aoqwtvd3eie3lbhh2d4gl6j2ozc5msgoh8uujoz0d[medium].png,باسلام ,https://emalls.ir//Shop/954/,954,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~954,در حال همکاری با ایمالز,احمد عادلی,۰۲۵۳۲۸۱۴۴۲۵,قم پردیسان خیابان دانشگاه خیابان مولوی پارک علم و فناوری استان قم ساختمان شهید فخری زاده,ahmadadeli [at] chmail [dot] ir,۳.۷,,سه شنبه ۲ بهمن,2025-01-21 15:39:39.748220+00:00,قم - قم,7 سال و 5 ماه و 14 روز,https://basalam.com/,دارد (سه ستاره),
454398173,1,http://emalls.ir//files/shoplogo/2s7smmgmyr515byfo8blzq3h52iarmzgalmpi2ypp2bxmtxxyk[medium].png,دیجی کالا,https://emalls.ir//Shop/1/,1,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~1,در حال همکاری با ایمالز,شرکت نوآوران فن آوازه,۰۲۱۶۱۹۳۰۰۰," خیابان ولی‌عصر – بالاتر از میدان ونک – خیابان عطار – میدان عطار – شماره ۴۲ - ساختمان ديجی کالا
",info [at] digikala [dot] com,۳.۲,,سه شنبه ۲ بهمن,2025-01-21 15:39:41.060274+00:00,تهران - تهران,12 سال و 5 ماه و 28 روز,https://www.digikala.com/,دارد (پنج ستاره) معتبر تا 1 سال و 1 ماه,
466645789,1,http://emalls.ir//files/shoplogo/0vc61dzanj2pmesu05kf5d5xbitkrpj1fa0s0t2qawyd8ko6bi[medium].png,تکنو لایف,https://emalls.ir//Shop/493/,493,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~493,در حال همکاری با ایمالز,پارس همراه کاسپین,۰۲۱۴۷۷۰۸۰۰۰,خیابان حافظ -بازار موبایل ایران -ط همکف- 229.230.243.244,technolife [dot] pars [at] gmail [dot] com ,۳.۷,,سه شنبه ۲ بهمن,2025-01-21 15:39:41.656525+00:00,تهران - تهران,8 سال و 11 ماه,https://www.technolife.ir/,دارد (پنج ستاره) معتبر تا 5 ماه و 16 روز,
,1,http://emalls.ir//files/shoplogo/y30su83bwf4q15twa7gupobf1ded58buk8gfl1pwvzxm3dx0dl[medium].png,پیندو,https://emalls.ir//Shop/38988/,38988,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~38988,در حال همکاری با ایمالز,پیشگامان تجارت پرداز فردا ,۰۲۱۶۱۹۳۰۲۰۰,محله: کاووسیه، کوچه شادی، خیابان شهید محمد باقر خدامی، پلاک: -31.0، ونک پلازا، طبقه: 9,info [at] pindo [dot] ir,۳.۷,,سه شنبه ۲ بهمن,2025-01-21 15:39:42.839324+00:00,تهران - تهران,1 سال و 2 ماه,https://www.pindo.ir/,دارد (یک ستاره) معتبر تا 6 ماه و 17 روز,
467785279,1,http://emalls.ir//files/shoplogo/k71ku2rfqrm4ommdpsr420kh5ucqkiajnurki8uxf3x1d5zxly[medium].png,تاپ رایان,https://emalls.ir//Shop/2292/,2292,اینترنتی و حضوری,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~2292,در حال همکاری با ایمالز,علی رئیسی,۰۲۱۹۱۰۰۷۳۷۴,بالاتر از چهاراه ولیعصر .نرسیده به خیابان بزرگمهر. کوچه بن بست گلساز .پلاک 2 .واحد 1 .,info [at] toprayan [dot] com,۴.۲,"https://t.me/Toprayanshop,https://instagram.com/toprayan_com,https://ble.ir/toprayan,https://eitaa.com/toprayanshop",سه شنبه ۲ بهمن,2025-01-21 15:39:43.616813+00:00,تهران - تهران,5 سال و 9 ماه و 11 روز,https://toprayan.com/,دارد (یک ستاره) معتبر تا 1 ماه و 19 روز,
466857882,1,http://emalls.ir//files/shoplogo/sn74snc0trnf25jn8jc23i2c2d0qnvefzddyw812ttn5uecsph[medium].png,آترین کالا,https://emalls.ir//Shop/577/,577,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~577,در حال همکاری با ایمالز,آترین کالا,۰۲۱۲۸۴۲۱۵۹۲,"سایر تهران بخش مرکزی ، شهر تهران، محله ونک ، میدان ونک ، خیابان ولیعصر ، پلاک 2572 ، طبقه همکف
",atrinkaala [at] gmail [dot] com,۴.۷,"https://web.whatsapp.com/send?phone=989129407012,https://instagram.com/atrinkala",سه شنبه ۲ بهمن,2025-01-21 15:39:44.722620+00:00,تهران - تهران,8 سال و 5 ماه و 27 روز,https://atrinkala.com/,دارد (یک ستاره) معتبر تا 4 ماه و 21 روز,
467157407,1,http://emalls.ir//files/shoplogo/5eg1ehewyhf8cs86rk110dyqk543gnki4uikbkssgibvb0sz1q[medium].png,پلازا دیجیتال,https://emalls.ir//Shop/3475/,3475,اینترنتی و حضوری,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~3475,در حال همکاری با ایمالز,رایانه پایتخت ویرا ,۰۲۱۵۸۴۹۷۰۰۰,کاووسیه، خیابان دفینه، خیابان شهید علیرضا دامن افشار، پلاک: 61.0، پایتخت، بلوک B، طبقه: 14، واحد: 1404 .,info [at] plazadigital [dot] ir,۴.۳,,سه شنبه ۲ بهمن,2025-01-21 15:39:45.255731+00:00,تهران - تهران,4 سال و 11 ماه و 8 روز,https://plazadigital.ir/,دارد (یک ستاره) معتبر تا 8 ماه و 19 روز,
467646555,1,http://emalls.ir//files/shoplogo/qx05yqmpx4d11tkgg3geucz5d5bmw8nho0h72tbbr4s2s4xfbi[medium].png,مرکز کامپیوتر پارسیان,https://emalls.ir//Shop/20322/,20322,اینترنتی و حضوری,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~20322,در حال همکاری با ایمالز,محمد مهدی نعیمی,۰۲۱۸۸۸۰۰۰۱۰,محله: دانشگاه تهران، خیابان دمشق، خیابان ولیعصر، پلاک: 1586.0، تجاری اداری ایران، 4، طبقه: -1، واحد: 555,pcccenter1 [at] gmail [dot] com,۳.۱,"https://web.whatsapp.com/send?phone=989122011192,https://t.me/moh_na,https://instagram.com/pcccenter.ir,https://eitaa.com/pcccenter",سه شنبه ۲ بهمن,2025-01-21 15:39:45.585994+00:00,تهران - تهران,3 سال و 6 ماه و 9 روز,https://pcccenter.com/,دارد (یک ستاره) معتبر تا 5 ماه و 12 روز,
,1,http://emalls.ir//files/shoplogo/n8wqxqjwav576v4ui3ydwviogk5yd60ax8677gpm5w06tzwclb[medium].png,بروز کالا,https://emalls.ir//Shop/1593/,1593,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~1593,در حال همکاری با ایمالز,آقای جهانبخش ,۰۲۱۸۷۷۰۰۷۸۱,خیابان کریمخان خیابان عضدی خیابان جعفر شهری پلاک 56 ساختمان بروزکالا,admin [at] berozkala [dot] com,۳.۸,"https://t.me/berozkalashop,https://instagram.com/berozkala",سه شنبه ۲ بهمن,2025-01-21 15:39:46.167536+00:00,تهران - تهران,6 سال و 6 ماه و 26 روز,https://berozkala.com/,دارد (سه ستاره),
,1,http://emalls.ir//files/shoplogo/46o3acff5ks8mxg5rv5f7i6qvuhanwdijhvdjg3nnkv86ltl0u[medium].png, یابان,https://emalls.ir//Shop/544/,544,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~544,در حال همکاری با ایمالز,علی زربخش,۰۲۱۹۱۳۰۲۳۳۰, تهران، محله فاطمی ، کوچه اشراقی ، خیابان هیئت ، پلاک -15 ، ساختمان گرد آفرید ، س ش دو - مراکز رشد ، طبقه اول ، واحد 2,info [at] yabaan [dot] com,۳.۳,,سه شنبه ۲ بهمن,2025-01-21 15:39:46.625551+00:00,تهران - تهران,8 سال و 7 ماه و 16 روز,https://yabaan.com/,دارد (یک ستاره) معتبر تا 10 ماه و 8 روز,
