shop_was_in_page,shop_img,shop_title,shop_url,shop_id,shop_selling_type,senfi_number,shop_all_products_target_url,cooperation_status_with_emalls,name_of_person_in_charge,phone_number,shop_address,shop_email,shop_score,shop_social_media_handles,shop_recieved_date,shop_crawled_at,shop_current_city,shop_duration_of_cooperation_with_emalls,shop_website,shop_Enamad_sign,images
11,http://emalls.ir//files/shoplogo/0f8gk6wfg0z40cwy1z8shcb66vt1ke0thdclrklu421kdhhwbq[medium].png,دقت زمان تهران,https://emalls.ir//Shop/38287/,38287,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,علی سعادت پور,,کوهک، بلوار امیر کبیر[کوهک]، کوچه شهید نامدار هاشم پور، پلاک: 16.0، طبقه: همکف,,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:35:45.910167+00:00,البرز - کرج,1 سال و 2 ماه و 22 روز,https://deghatzaman.com/,ندارد,
10,http://emalls.ir/src/shop-default.svg,طلا و جواهر افتخاریان,https://emalls.ir//Shop/41904/,41904,اینترنتی و حضوری,,,غیرفعال به دلیل عدم تکمیل مدارک,هومن افتخاریان,۰۲۱۳۶۹۱۶۵۰۵ - ۰۲۱۳۳۹۵۰۷۸۹,چهارراه اسلامبول، خیابان فردوسی، خیابان جمهوری اسلامی، پلاک: 372.0، پروانه، طبقه: 1، واحد: 354,Eftekhariangold [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:35:47.153491+00:00,تهران - تهران,10 ماه و 29 روز,https://eftekhariangold.com/,دارد (یک ستاره) معتبر تا 5 ماه و 12 روز,
8,http://emalls.ir//files/shoplogo/rytc02u5rft0s127yg6m5a8diwoaycahbvplpjztcq1wrqu3dc[medium].png,تابش,https://emalls.ir//Shop/39744/,39744,اینترنتی,,,قطع همکاری با ایمالز,لیلا میرزائی,۰۲۱۵۶۷۹۱۲۶۵,پرند فاز2، خیابان کوهستان، کوچه سرو7، پلاک: 32.0، طبقه: 1،,leilamirzaei74 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:35:47.674314+00:00,تهران - تهران,--,https://tabesh.shop/,دارد (یک ستاره) معتبر تا 7 ماه و 6 روز,
14,http://emalls.ir//files/shoplogo/kq2hkwrphbumy8ztilc0mw4h2bqh3muvvwqj6s4atanc0jd6rc[medium].png,نوین پیش قدم ,https://emalls.ir//Shop/32405/,32405,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,نصرت مقصودی ابدال آبادی ,۰۵۱۳۷۱۲۵۶۵۴,شهیدمطهری، خیابان حر عاملی 43، خیابان شهیدمحترم 7 [عامل 43/4]، پلاک: -30.0، طبقه: همکف،,mashhadchasb [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:35:51.142644+00:00,خراسان رضوی - مشهد,1 سال و 10 ماه و 9 روز,https://mashhadchasb.ir/,دارد (صفر ستاره),
12,http://emalls.ir//files/shoplogo/xr6o5b84qmrzvg83nhgo4dnlwxkvax5dmturhz15awavpic58r[medium].png,انتشارات جی5,https://emalls.ir//Shop/3739/,3739,اینترنتی,,,قطع همکاری با ایمالز,مهسا فیاضی بروجنی,۰۲۱۶۶۹۶۷۳۱۵,"تهران تهران منطقه شهرداری یازده، خیابان انقلاب، ساختمان پاساژ فروزنده، طبقه همکف، واحد ۳۱۸
",g5g5 [dot] emalls [at] gmail [dot] com	,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:35:52.150007+00:00,تهران - تهران,--,https://malekig5.com/,دارد (یک ستاره),
14,http://emalls.ir//files/shoplogo/587twdo0c23vl33sgpx1ykwmg3xm8mu40orxipscftnctjcedt[medium].png,بنک مارکت,https://emalls.ir//Shop/23693/,23693,اینترنتی,,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~23693,عدم همکاری با ایمالز,پارس پخش خوانسار,۰۲۱۳۵۰۰۰۰۵۰,محله مسعودیه ، کوچه ( مدرسه آیت اله صدر ) ، بزرگراه امام رضا (ع) ، پلاک 1353 ، گاراژ رحمانی ، طبقه همکف,info [at] bonak [dot] market,۵,,چهارشنبه ۳ بهمن,2025-01-22 15:35:53.306669+00:00,تهران - تهران,--,https://bonak.market/,دارد (یک ستاره),
11,http://emalls.ir//files/shoplogo/blv3ty2rh2bfeg6862874cdgmyr7p5lrumeetfshnqkgd6glkz[medium].jpg,بهامارکت,https://emalls.ir//Shop/25180/,25180,اینترنتی,,,عدم همکاری با ایمالز,علی امینی,۰۲۱۹۱۳۰۰۰۷۳,بلوار بسیج، بن بست (لاله)، پلاک: 974.0، طبقه: دوم,info [at] bahamarket [dot] co,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:35:54.133728+00:00,تهران - اسلام‌شهر,--,https://bahamarket.co/,دارد (یک ستاره),
8,http://emalls.ir//files/shoplogo/o8xeql2xmsqy08hxa0iujj5x8k4o5ryg707g8tf5h614tewh55[medium].jpeg,شاهین شهر,https://emalls.ir//Shop/40746/,40746,اینترنتی,,,عدم همکاری با ایمالز,ایرج ابوالوردی,۰۹۱۳۶۷۸۰۰۲۳,محله: ابوریحان، خیابان ابوریحان، کوچه فرعی3شرقی[فرعی3غربی]، پلاک: 45.0، اداری خدماتی شهرداری شاهین شهر، طبقه: 2، واحد: 2(جنوبی),info [at] shahincity [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:35:54.898632+00:00,اصفهان - شاهین‌شهر,--,https://shahincity.com/,دارد (یک ستاره) معتبر تا 8 ماه و 16 روز,
10,http://emalls.ir//files/shoplogo/sg6jvam0u3m05l61hra3imiatss4thyhthcrfpleu66jw37td4[medium].png,ایلیاد,https://emalls.ir//Shop/19056/,19056,اینترنتی,,,عدم همکاری با ایمالز,ایمان داودی,۰۲۱۲۸۴۲۸۱۷۷, سعادت آباد ، علامه جنوبی، ساختمان علامه,imandavoodi114 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:35:55.891565+00:00,تهران - تهران,--,https://eiliad.com/,دارد (یک ستاره),
5,http://emalls.ir/src/shop-default.svg,لووین,https://emalls.ir//Shop/47198/,47198,اینترنتی و حضوری,,,غیرفعال به دلیل عدم تکمیل مدارک,فاطمه زمانی,۰۲۱۵۵۶۲۶۴۶۷,تهران، خیابان خیام، خیابان 15 خرداد، رو به روی خیابان ناصر خسرو، بازار بزرگ، بعد از بانک ملی، نرسیده به چارسوق کوچک، بازار سلطانی، نرسیده به سرای جدید، پلاک 26، فروشگاه لووین,mohamadreza [dot] kh [dot] 94 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:35:59.660266+00:00,,6 ماه و 13 روز,https://louvin.ir/,دارد (یک ستاره) معتبر تا 1 سال و 4 ماه و 27 روز,
2,http://emalls.ir//files/shoplogo/5uirljxvqo3nrmhc2dwq8pq2t4unr7i07lyjuzzsv6zxh0lj0t[medium].png,جنرال خودرو,https://emalls.ir//Shop/3449/,3449,اینترنتی,,,عدم همکاری با ایمالز,محمدرضا حسانی فر,۰۳۵۳-۸۲۴۹۵۹۰,"یزد یزد محله بخش دو، میدان شهدای محراب به سمت میدان ابوذر، پل ۵۰ متر مانده به پل قطار سمت راست
",hskhodro [at] gmail [dot] com	,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 15:36:00.257323+00:00,یزد - یزد,--,https://generalkhodro.com/,دارد (یک ستاره),
