shop_was_in_page,shop_img,shop_title,shop_url,shop_id,shop_selling_type,senfi_number,shop_all_products_target_url,cooperation_status_with_emalls,name_of_person_in_charge,phone_number,shop_address,shop_email,shop_score,shop_social_media_handles,shop_recieved_date,shop_crawled_at,shop_current_city,shop_duration_of_cooperation_with_emalls,shop_website,shop_Enamad_sign,images
11,http://emalls.ir//files/shoplogo/fwxo0tt2e4an25gfbobriy1wpmtbtd6max7yrnorrgw627jenu[medium].png,فرش کاشانک,https://emalls.ir//Shop/20949/,20949,اینترنتی,,,عدم همکاری با ایمالز,قاسم پشتاره ,۰۳۱۵۵۵۱۰۴۵۵,محله گبرها ، خیابان میر عماد ، خیابان شهیدمحمد علی رجایی ، پلاک 0 ، طبقه همکف,Pshtarhqp [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:18.591177+00:00,اصفهان - اصفهان,--,http://www.farshekashanak.com/,دارد (یک ستاره),
12,http://emalls.ir//files/shoplogo/girzlpblwm7uwot3z2bhnsp1oxs2ei366l3z07gn3z51vt4a1n[medium].jpg,تزئینات مینائی,https://emalls.ir//Shop/20919/,20919,اینترنتی,,,قطع همکاری با ایمالز,مجید مینائی میلاجردی ,۰۲۱۵۶۷۶۵۴۴۸,محله نسیم شهر ، خیابان سهند ، خیابان گلها ، پلاک 105 ، طبقه چهارم,majiddminaie [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:19.125865+00:00,تهران - نسیم‌شهر,--,https://tazeinatminaie.ir/,دارد (یک ستاره),
13,http://emalls.ir/src/shop-default.svg,دایار رز,https://emalls.ir//Shop/52848/,52848,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,محمدسينا اسعدي,۰۳۱۴۵۳۴۵۹۸۶,دکترشریعتی - کوچه فرعی 2 شمالی - بلوار دکترشریعتی - پلاک : 67.0 - طبقه : همکف - واحد : 2,dayarrose[a [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989936385851,https://instagram.com/dayarrose",چهارشنبه ۳ بهمن,2025-01-22 14:33:19.875192+00:00,اصفهان - شاهین‌شهر,2 ماه و 5 روز,https://www.dayarrose.com/,دارد (یک ستاره) معتبر تا 1 سال و 6 ماه و 29 روز,
11,http://emalls.ir/src/shop-default.svg,سایه,https://emalls.ir//Shop/56076/,56076,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,علی احمدی زاده,۰۷۱۳۲۳۴۷۲۱۹,محله : وصال - خیابان انقلاب اسلامی - خیابان لطفعلی خان زند - تجاری حجت 2 - پلاک : 0.0 - طبقه : همکف - واحد : 4,sayehcosmetic [dot] shop [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:20.443233+00:00,فارس - شیراز,2 روز,https://sayehst.ir/,دارد (یک ستاره) معتبر تا 1 سال و 11 ماه و 5 روز,
10,http://emalls.ir/src/shop-default.svg,لینک تجارت رایا,https://emalls.ir//Shop/55377/,55377,حضوری,,,غیرفعال به دلیل عدم تکمیل مدارک,منیر محمودزاده,,,,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:21.076292+00:00,,17 روز,,,
9,http://emalls.ir//files/shoplogo/8mseoz1kr8cqbji5urgsve6au51rcxw77son0n82wuavkg75zj[medium].png,پینکو شاپ,https://emalls.ir//Shop/51734/,51734,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,شهرزاد خادم,۰۲۱۷۷۴۷۸۴۶۶,نبرد شمالی، خیابان نبرد، کوچه شهید محمود ابدی، پلاک: 8.0، طبقه: همکف،,info [at] pinkoshop [dot] ir,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:21.832879+00:00,تهران - تهران,3 ماه,http://pinkoshop.ir/,,
8,http://emalls.ir/src/shop-default.svg,راشل بوتیک,https://emalls.ir//Shop/54610/,54610,حضوری,,,غیرفعال به دلیل عدم تکمیل مدارک,مینا علیزاده ,۰۹۳۳۲۳۱۶۰۹۸,,,بدون امتیاز,https://instagram.com/Rashel_botik,چهارشنبه ۳ بهمن,2025-01-22 14:33:22.647327+00:00,تهران - قدس,1 ماه و 1 روز,,,
2,http://emalls.ir/src/shop-default.svg,مکمل بازار,https://emalls.ir//Shop/53065/,53065,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,علی زاهدی ,۰۲۱۶۵۵۹۰۱۳۵,خیابان ورزش غربی - خیابان دکتر حسابی - پلاک : 1330.0 - طبقه : -1,zahediali080 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:25.274834+00:00,تهران - تهران,2 ماه و 3 روز,https://mokamelbazar.ir/,,
3,http://emalls.ir/src/shop-default.svg,نورا نوین,https://emalls.ir//Shop/55451/,55451,اینترنتی,,,عدم همکاری با ایمالز, پروانه محمدی,۰۲۱۴۶۸۱۴۱۵۷,محله : کاووسیه - خیابان مبارزان - بن بست شهید علی خزلی - باران پلاک 47 قدیم - پلاک : 0.0 - طبقه : 2 - واحد : 4,arashnri146 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:26.319904+00:00,تهران - قدس,--,https://nooranovin.com/,,
6,http://emalls.ir/src/shop-default.svg,ماکیاژلند,https://emalls.ir//Shop/49782/,49782,اینترنتی,,,عدم همکاری با ایمالز,توسعه تجارت هرو ,۰۹۱۲۴۰۱۸۵۹۶,توحید - خیابان کوثر دوم - بن بست مینو - پلاک : -4.0 - طبقه : 4 - واحد : 7,makiazhland [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:26.535748+00:00,تهران - تهران,--,https://makiazhland.ir/,دارد (یک ستاره) معتبر تا 6 ماه و 26 روز,
